一列目,A1,インジ
,A2,センサー
,A3,イグニッション
,A4,イグニッション
,A5,イグニッション
,A6,イグニッション
,A7,不使用
,A8,不使用
,A9,不使用
2段目,A10,グラウンド
,A11,グラウンド
,A12,イグニッション
,A13,Can電源線(4ピン)
,A14,センサー
,A15,センサー
,A16,不使用
,A17,不使用
3段目,A18,ポンプ(燃料ポンプリレー)
,A19,インジェクション
,A20,インジェクション
,A21,インジェクション
,A22,インジェクション
,A23,O2センサー
,A24,ポンプ
,A25,不使用
,A26,ヒューズボックス
4段目,A27,
,A28,
,A29,
,A30,
,A31,
,A32,
,A33,
,A34,
,A35,
,,
1段目,B1,センサー
,B2,イグニッション
,B3,センサー
,B4,センサー
,B5,冷却温度センサー2つめ
,B6,不使用
,B7,不使用
2段目,B8,不使用
,B9,不使用
,B10,不使用
,B11,不使用
,B12,不使用
,B13,不使用
2段目,B14,Can電源線(4ピン)
,B15,グラウンド
,B16,グラウンド
,B17,不使用
,B18,Can(どこにつながってるか不明)
,B19,不使用
3段目,B20,不使用
,B21,センサー
,B22,不使用
,B23,Can(どこにつながってるか不明)
,B24,Can(どこにつながってるか不明)
,B25,O2センサー
,B26,O2センサー
